currency,price,period_start,period_end,next_billing_date
USD,308.03,2023-02-01 00:00:00,2023-03-03 00:00:00,2023-03-04 00:00:00
USD,312.65,2023-03-04 00:00:00,2023-04-03 00:00:00,2023-04-04 00:00:00
USD,317.34,2023-04-04 00:00:00,2023-05-04 00:00:00,2023-05-05 00:00:00
USD,322.1,2023-05-05 00:00:00,2023-06-04 00:00:00,2023-06-05 00:00:00
USD,326.93,2023-06-05 00:00:00,2023-07-05 00:00:00,2023-07-06 00:00:00
USD,331.83,2023-07-06 00:00:00,2023-08-05 00:00:00,2023-08-06 00:00:00
USD,336.81,2023-08-06 00:00:00,2023-09-05 00:00:00,2023-09-06 00:00:00
USD,341.86,2023-09-06 00:00:00,2023-10-06 00:00:00,2023-10-07 00:00:00
USD,346.99,2023-10-07 00:00:00,2023-11-06 00:00:00,2023-11-07 00:00:00
USD,352.19,2023-11-07 00:00:00,2023-12-07 00:00:00,2023-12-08 00:00:00
USD,99.0,2022-12-01 00:00:00,2022-12-31 00:00:00,2023-01-01 00:00:00
USD,103.95,2023-01-01 00:00:00,2023-01-31 00:00:00,2023-02-01 00:00:00
USD,107.07,2023-02-01 00:00:00,2023-03-03 00:00:00,2023-03-04 00:00:00
USD,110.28,2023-03-04 00:00:00,2023-04-03 00:00:00,2023-04-04 00:00:00
USD,113.59,2023-04-04 00:00:00,2023-05-04 00:00:00,2023-05-05 00:00:00
USD,117.0,2023-05-05 00:00:00,2023-06-04 00:00:00,2023-06-05 00:00:00
USD,120.51,2023-06-05 00:00:00,2023-07-05 00:00:00,2023-07-06 00:00:00
USD,124.13,2023-07-06 00:00:00,2023-08-05 00:00:00,2023-08-06 00:00:00
USD,127.85,2023-08-06 00:00:00,2023-09-05 00:00:00,2023-09-06 00:00:00
USD,131.69,2023-09-06 00:00:00,2023-10-06 00:00:00,2023-10-07 00:00:00
USD,135.64,2023-10-07 00:00:00,2023-11-06 00:00:00,2023-11-07 00:00:00
USD,139.71,2023-11-07 00:00:00,2023-12-07 00:00:00,2023-12-08 00:00:00
USD,99.0,2022-12-01 00:00:00,2022-12-31 00:00:00,2023-01-01 00:00:00
USD,103.95,2023-01-01 00:00:00,2023-01-31 00:00:00,2023-02-01 00:00:00
USD,107.07,2023-02-01 00:00:00,2023-03-03 00:00:00,2023-03-04 00:00:00
USD,110.28,2023-03-04 00:00:00,2023-04-03 00:00:00,2023-04-04 00:00:00
USD,113.59,2023-04-04 00:00:00,2023-05-04 00:00:00,2023-05-05 00:00:00
USD,117.0,2023-05-05 00:00:00,2023-06-04 00:00:00,2023-06-05 00:00:00
USD,120.51,2023-06-05 00:00:00,2023-07-05 00:00:00,2023-07-06 00:00:00
USD,124.13,2023-07-06 00:00:00,2023-08-05 00:00:00,2023-08-06 00:00:00
USD,127.85,2023-08-06 00:00:00,2023-09-05 00:00:00,2023-09-06 00:00:00
USD,131.69,2023-09-06 00:00:00,2023-10-06 00:00:00,2023-10-07 00:00:00
USD,135.64,2023-10-07 00:00:00,2023-11-06 00:00:00,2023-11-07 00:00:00
USD,139.71,2023-11-07 00:00:00,2023-12-07 00:00:00,2023-12-08 00:00:00
USD,99.0,2022-12-01 00:00:00,2022-12-31 00:00:00,2023-01-01 00:00:00
USD,103.95,2023-01-01 00:00:00,2023-01-31 00:00:00,2023-02-01 00:00:00
USD,107.07,2023-02-01 00:00:00,2023-03-03 00:00:00,2023-03-04 00:00:00
USD,110.28,2023-03-04 00:00:00,2023-04-03 00:00:00,2023-04-04 00:00:00
USD,113.59,2023-04-04 00:00:00,2023-05-04 00:00:00,2023-05-05 00:00:00
USD,117.0,2023-05-05 00:00:00,2023-06-04 00:00:00,2023-06-05 00:00:00
USD,120.51,2023-06-05 00:00:00,2023-07-05 00:00:00,2023-07-06 00:00:00
USD,124.13,2023-07-06 00:00:00,2023-08-05 00:00:00,2023-08-06 00:00:00
USD,127.85,2023-08-06 00:00:00,2023-09-05 00:00:00,2023-09-06 00:00:00
USD,131.69,2023-09-06 00:00:00,2023-10-06 00:00:00,2023-10-07 00:00:00
USD,135.64,2023-10-07 00:00:00,2023-11-06 00:00:00,2023-11-07 00:00:00
USD,139.71,2023-11-07 00:00:00,2023-12-07 00:00:00,2023-12-08 00:00:00
USD,99.0,2022-12-02 00:00:00,2023-01-01 00:00:00,2023-01-02 00:00:00
USD,103.95,2023-01-02 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00
USD,107.07,2023-02-02 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00
USD,110.28,2023-03-05 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00
USD,113.59,2023-04-05 00:00:00,2023-05-05 00:00:00,2023-05-06 00:00:00
USD,117.0,2023-05-06 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00
USD,120.51,2023-06-06 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
USD,124.13,2023-07-07 00:00:00,2023-08-06 00:00:00,2023-08-07 00:00:00
USD,127.85,2023-08-07 00:00:00,2023-09-06 00:00:00,2023-09-07 00:00:00
USD,131.69,2023-09-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00
USD,135.64,2023-10-08 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00
USD,139.71,2023-11-08 00:00:00,2023-12-08 00:00:00,2023-12-09 00:00:00
USD,99.0,2022-12-02 00:00:00,2023-01-01 00:00:00,2023-01-02 00:00:00
USD,103.95,2023-01-02 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00
USD,107.07,2023-02-02 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00
USD,110.28,2023-03-05 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00
USD,113.59,2023-04-05 00:00:00,2023-05-05 00:00:00,2023-05-06 00:00:00
USD,117.0,2023-05-06 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00
USD,120.51,2023-06-06 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
USD,124.13,2023-07-07 00:00:00,2023-08-06 00:00:00,2023-08-07 00:00:00
USD,127.85,2023-08-07 00:00:00,2023-09-06 00:00:00,2023-09-07 00:00:00
USD,131.69,2023-09-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00
USD,135.64,2023-10-08 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00
USD,139.71,2023-11-08 00:00:00,2023-12-08 00:00:00,2023-12-09 00:00:00
USD,99.0,2022-12-02 00:00:00,2023-01-01 00:00:00,2023-01-02 00:00:00
USD,103.95,2023-01-02 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00
USD,107.07,2023-02-02 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00
USD,110.28,2023-03-05 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00
USD,113.59,2023-04-05 00:00:00,2023-05-05 00:00:00,2023-05-06 00:00:00
USD,117.0,2023-05-06 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00
USD,120.51,2023-06-06 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
USD,124.13,2023-07-07 00:00:00,2023-08-06 00:00:00,2023-08-07 00:00:00
USD,127.85,2023-08-07 00:00:00,2023-09-06 00:00:00,2023-09-07 00:00:00
USD,131.69,2023-09-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00
USD,135.64,2023-10-08 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00
USD,139.71,2023-11-08 00:00:00,2023-12-08 00:00:00,2023-12-09 00:00:00
USD,99.0,2022-12-02 00:00:00,2023-01-01 00:00:00,2023-01-02 00:00:00
USD,103.95,2023-01-02 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00
USD,107.07,2023-02-02 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00
USD,110.28,2023-03-05 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00
USD,113.59,2023-04-05 00:00:00,2023-05-05 00:00:00,2023-05-06 00:00:00
USD,117.0,2023-05-06 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00
USD,120.51,2023-06-06 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
USD,124.13,2023-07-07 00:00:00,2023-08-06 00:00:00,2023-08-07 00:00:00
USD,127.85,2023-08-07 00:00:00,2023-09-06 00:00:00,2023-09-07 00:00:00
USD,131.69,2023-09-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00
USD,135.64,2023-10-08 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00
USD,139.71,2023-11-08 00:00:00,2023-12-08 00:00:00,2023-12-09 00:00:00
USD,99.0,2022-12-02 00:00:00,2023-01-01 00:00:00,2023-01-02 00:00:00
USD,103.95,2023-01-02 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00
USD,107.07,2023-02-02 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00
USD,110.28,2023-03-05 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00
USD,113.59,2023-04-05 00:00:00,2023-05-05 00:00:00,2023-05-06 00:00:00
USD,117.0,2023-05-06 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00
USD,120.51,2023-06-06 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
USD,124.13,2023-07-07 00:00:00,2023-08-06 00:00:00,2023-08-07 00:00:00
USD,127.85,2023-08-07 00:00:00,2023-09-06 00:00:00,2023-09-07 00:00:00
USD,131.69,2023-09-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00
USD,135.64,2023-10-08 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00
USD,139.71,2023-11-08 00:00:00,2023-12-08 00:00:00,2023-12-09 00:00:00
USD,99.0,2022-12-02 00:00:00,2023-01-01 00:00:00,2023-01-02 00:00:00
USD,103.95,2023-01-02 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00
USD,107.07,2023-02-02 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00
USD,110.28,2023-03-05 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00
USD,113.59,2023-04-05 00:00:00,2023-05-05 00:00:00,2023-05-06 00:00:00
USD,117.0,2023-05-06 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00
USD,120.51,2023-06-06 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
USD,124.13,2023-07-07 00:00:00,2023-08-06 00:00:00,2023-08-07 00:00:00
USD,127.85,2023-08-07 00:00:00,2023-09-06 00:00:00,2023-09-07 00:00:00
USD,131.69,2023-09-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00
USD,135.64,2023-10-08 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00
USD,139.71,2023-11-08 00:00:00,2023-12-08 00:00:00,2023-12-09 00:00:00
USD,99.0,2022-12-02 00:00:00,2023-01-01 00:00:00,2023-01-02 00:00:00
USD,103.95,2023-01-02 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00
USD,107.07,2023-02-02 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00
USD,110.28,2023-03-05 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00
USD,113.59,2023-04-05 00:00:00,2023-05-05 00:00:00,2023-05-06 00:00:00
USD,117.0,2023-05-06 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00
USD,120.51,2023-06-06 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
USD,124.13,2023-07-07 00:00:00,2023-08-06 00:00:00,2023-08-07 00:00:00
USD,127.85,2023-08-07 00:00:00,2023-09-06 00:00:00,2023-09-07 00:00:00
USD,131.69,2023-09-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00
USD,135.64,2023-10-08 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00
USD,139.71,2023-11-08 00:00:00,2023-12-08 00:00:00,2023-12-09 00:00:00
USD,99.0,2022-12-02 00:00:00,2023-01-01 00:00:00,2023-01-02 00:00:00
USD,103.95,2023-01-02 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00
USD,107.07,2023-02-02 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00
USD,110.28,2023-03-05 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00
USD,113.59,2023-04-05 00:00:00,2023-05-05 00:00:00,2023-05-06 00:00:00
USD,117.0,2023-05-06 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00
USD,120.51,2023-06-06 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
USD,124.13,2023-07-07 00:00:00,2023-08-06 00:00:00,2023-08-07 00:00:00
USD,127.85,2023-08-07 00:00:00,2023-09-06 00:00:00,2023-09-07 00:00:00
USD,131.69,2023-09-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00
USD,135.64,2023-10-08 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00
USD,139.71,2023-11-08 00:00:00,2023-12-08 00:00:00,2023-12-09 00:00:00
USD,299.0,2022-12-02 00:00:00,2023-01-01 00:00:00,2023-01-02 00:00:00
USD,303.48,2023-01-02 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00
USD,308.03,2023-02-02 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00
USD,312.65,2023-03-05 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00
USD,317.34,2023-04-05 00:00:00,2023-05-05 00:00:00,2023-05-06 00:00:00
USD,322.1,2023-05-06 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00
USD,326.93,2023-06-06 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
USD,331.83,2023-07-07 00:00:00,2023-08-06 00:00:00,2023-08-07 00:00:00
USD,336.81,2023-08-07 00:00:00,2023-09-06 00:00:00,2023-09-07 00:00:00
USD,341.86,2023-09-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00
USD,346.99,2023-10-08 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00
USD,352.19,2023-11-08 00:00:00,2023-12-08 00:00:00,2023-12-09 00:00:00
USD,99.0,2022-12-02 00:00:00,2023-01-01 00:00:00,2023-01-02 00:00:00
USD,103.95,2023-01-02 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00
USD,107.07,2023-02-02 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00
USD,110.28,2023-03-05 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00
USD,113.59,2023-04-05 00:00:00,2023-05-05 00:00:00,2023-05-06 00:00:00
USD,117.0,2023-05-06 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00
USD,120.51,2023-06-06 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
USD,124.13,2023-07-07 00:00:00,2023-08-06 00:00:00,2023-08-07 00:00:00
USD,127.85,2023-08-07 00:00:00,2023-09-06 00:00:00,2023-09-07 00:00:00
USD,131.69,2023-09-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00
USD,135.64,2023-10-08 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00
USD,139.71,2023-11-08 00:00:00,2023-12-08 00:00:00,2023-12-09 00:00:00
USD,99.0,2022-12-02 00:00:00,2023-01-01 00:00:00,2023-01-02 00:00:00
USD,103.95,2023-01-02 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00
USD,107.07,2023-02-02 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00
USD,110.28,2023-03-05 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00
USD,113.59,2023-04-05 00:00:00,2023-05-05 00:00:00,2023-05-06 00:00:00
USD,117.0,2023-05-06 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00
USD,120.51,2023-06-06 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
USD,124.13,2023-07-07 00:00:00,2023-08-06 00:00:00,2023-08-07 00:00:00
USD,127.85,2023-08-07 00:00:00,2023-09-06 00:00:00,2023-09-07 00:00:00
USD,131.69,2023-09-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00
USD,135.64,2023-10-08 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00
USD,139.71,2023-11-08 00:00:00,2023-12-08 00:00:00,2023-12-09 00:00:00
USD,99.0,2022-12-23 00:00:00,2023-01-22 00:00:00,2023-01-02 00:00:00
USD,103.95,2023-01-02 00:00:00,2023-02-01 00:00:00,2023-02-02 00:00:00
USD,107.07,2023-02-02 00:00:00,2023-03-04 00:00:00,2023-03-05 00:00:00
USD,110.28,2023-03-05 00:00:00,2023-04-04 00:00:00,2023-04-05 00:00:00
USD,113.59,2023-04-05 00:00:00,2023-05-05 00:00:00,2023-05-06 00:00:00
USD,117.0,2023-05-06 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00
USD,120.51,2023-06-06 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
USD,124.13,2023-07-07 00:00:00,2023-08-06 00:00:00,2023-08-07 00:00:00
USD,127.85,2023-08-07 00:00:00,2023-09-06 00:00:00,2023-09-07 00:00:00
USD,131.69,2023-09-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00
USD,135.64,2023-10-08 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00
USD,139.71,2023-11-08 00:00:00,2023-12-08 00:00:00,2023-12-09 00:00:00
USD,99.0,2022-12-03 00:00:00,2023-01-02 00:00:00,2023-01-03 00:00:00
USD,103.95,2023-01-03 00:00:00,2023-02-02 00:00:00,2023-02-03 00:00:00
USD,107.07,2023-02-03 00:00:00,2023-03-05 00:00:00,2023-03-06 00:00:00
USD,110.28,2023-03-06 00:00:00,2023-04-05 00:00:00,2023-04-06 00:00:00
USD,113.59,2023-04-06 00:00:00,2023-05-06 00:00:00,2023-05-07 00:00:00
USD,117.0,2023-05-07 00:00:00,2023-06-06 00:00:00,2023-06-07 00:00:00
USD,120.51,2023-06-07 00:00:00,2023-07-07 00:00:00,2023-07-08 00:00:00
USD,124.13,2023-07-08 00:00:00,2023-08-07 00:00:00,2023-08-08 00:00:00
USD,127.85,2023-08-08 00:00:00,2023-09-07 00:00:00,2023-09-08 00:00:00
USD,131.69,2023-09-08 00:00:00,2023-10-08 00:00:00,2023-10-09 00:00:00
USD,135.64,2023-10-09 00:00:00,2023-11-08 00:00:00,2023-11-09 00:00:00
USD,139.71,2023-11-09 00:00:00,2023-12-09 00:00:00,2023-12-10 00:00:00
USD,99.0,2022-12-03 00:00:00,2023-01-02 00:00:00,2023-01-03 00:00:00
USD,103.95,2023-01-03 00:00:00,2023-02-02 00:00:00,2023-02-03 00:00:00
USD,107.07,2023-02-03 00:00:00,2023-03-05 00:00:00,2023-03-06 00:00:00
USD,110.28,2023-03-06 00:00:00,2023-04-05 00:00:00,2023-04-06 00:00:00
USD,113.59,2023-04-06 00:00:00,2023-05-06 00:00:00,2023-05-07 00:00:00
USD,117.0,2023-05-07 00:00:00,2023-06-06 00:00:00,2023-06-07 00:00:00
USD,120.51,2023-06-07 00:00:00,2023-07-07 00:00:00,2023-07-08 00:00:00
USD,124.13,2023-07-08 00:00:00,2023-08-07 00:00:00,2023-08-08 00:00:00
USD,127.85,2023-08-08 00:00:00,2023-09-07 00:00:00,2023-09-08 00:00:00
USD,131.69,2023-09-08 00:00:00,2023-10-08 00:00:00,2023-10-09 00:00:00
USD,135.64,2023-10-09 00:00:00,2023-11-08 00:00:00,2023-11-09 00:00:00
USD,139.71,2023-11-09 00:00:00,2023-12-09 00:00:00,2023-12-10 00:00:00
USD,99.0,2022-12-03 00:00:00,2023-01-02 00:00:00,2023-01-03 00:00:00
USD,103.95,2023-01-03 00:00:00,2023-02-02 00:00:00,2023-02-03 00:00:00
USD,107.07,2023-02-03 00:00:00,2023-03-05 00:00:00,2023-03-06 00:00:00
USD,110.28,2023-03-06 00:00:00,2023-04-05 00:00:00,2023-04-06 00:00:00
USD,113.59,2023-04-06 00:00:00,2023-05-06 00:00:00,2023-05-07 00:00:00
USD,117.0,2023-05-07 00:00:00,2023-06-06 00:00:00,2023-06-07 00:00:00
USD,120.51,2023-06-07 00:00:00,2023-07-07 00:00:00,2023-07-08 00:00:00
USD,124.13,2023-07-08 00:00:00,2023-08-07 00:00:00,2023-08-08 00:00:00
USD,127.85,2023-08-08 00:00:00,2023-09-07 00:00:00,2023-09-08 00:00:00
USD,131.69,2023-09-08 00:00:00,2023-10-08 00:00:00,2023-10-09 00:00:00
USD,135.64,2023-10-09 00:00:00,2023-11-08 00:00:00,2023-11-09 00:00:00
USD,139.71,2023-11-09 00:00:00,2023-12-09 00:00:00,2023-12-10 00:00:00
USD,99.0,2022-12-03 00:00:00,2023-01-02 00:00:00,2023-01-03 00:00:00
USD,103.95,2023-01-03 00:00:00,2023-02-02 00:00:00,2023-02-03 00:00:00
USD,107.07,2023-02-03 00:00:00,2023-03-05 00:00:00,2023-03-06 00:00:00
USD,110.28,2023-03-06 00:00:00,2023-04-05 00:00:00,2023-04-06 00:00:00
USD,113.59,2023-04-06 00:00:00,2023-05-06 00:00:00,2023-05-07 00:00:00
USD,117.0,2023-05-07 00:00:00,2023-06-06 00:00:00,2023-06-07 00:00:00
USD,120.51,2023-06-07 00:00:00,2023-07-07 00:00:00,2023-07-08 00:00:00
USD,124.13,2023-07-08 00:00:00,2023-08-07 00:00:00,2023-08-08 00:00:00
USD,127.85,2023-08-08 00:00:00,2023-09-07 00:00:00,2023-09-08 00:00:00
USD,131.69,2023-09-08 00:00:00,2023-10-08 00:00:00,2023-10-09 00:00:00
USD,135.64,2023-10-09 00:00:00,2023-11-08 00:00:00,2023-11-09 00:00:00
USD,139.71,2023-11-09 00:00:00,2023-12-09 00:00:00,2023-12-10 00:00:00
USD,99.0,2022-12-03 00:00:00,2023-01-02 00:00:00,2023-01-03 00:00:00
USD,103.95,2023-01-03 00:00:00,2023-02-02 00:00:00,2023-02-03 00:00:00
USD,107.07,2023-02-03 00:00:00,2023-03-05 00:00:00,2023-03-06 00:00:00
